Название,Характеристики,Цена,Страрая цена
"Смартфон FLY Stratus 8 FS408, черный "," Код: 1025142; ОС Android 6.0, экран: 4"", TN, 854×480, процессор: MediaTek MT6570, 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 280ч, оперативная память: 512Мб, встроенная память: 8Гб ", 1990 руб., 2190 руб.
"Смартфон DIGMA Linx Atom 3G, черный "," Код: 1062954; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 512Мб, встроенная память: 4Гб ", 2070 руб.,-
"Смартфон FLY Stratus 8 FS408, красный "," Код: 1025144; ОС Android 6.0, экран: 4"", TN, 854×480, процессор: MediaTek MT6570, 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 280ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2190 руб.,-
"Смартфон FLY Stratus 8 FS408, зеленый "," Код: 1025170; ОС Android 6.0, экран: 4"", TN, 854×480, процессор: MediaTek MT6570, 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 280ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2200 руб.,-
Смартфон MICROMAX Q306 черный ," Код: 1106833; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: MediaTek MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, время работы в режиме разговора, до: 6ч, в режиме ожидания, до: 150ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2220 руб.,-
Смартфон ARK Benefit S504 черный ," Код: 1012196; ОС Android 5.1, экран: 5"", 854×480, процессор: 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, GPS, время работы в режиме разговора, до: 4ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2450 руб.,-
Смартфон ARK Benefit S504 красный ," Код: 1012200; ОС Android 5.1, экран: 5"", 854×480, процессор: 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, GPS, время работы в режиме разговора, до: 4ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2450 руб.,-
Смартфон ARK Benefit S504 золотистый ," Код: 1012201; ОС Android 5.1, экран: 5"", 854×480, процессор: 1300МГц, 2-х ядерный, камера: 2Мп, FM-радио, GPS, время работы в режиме разговора, до: 4ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2450 руб.,-
"Смартфон DIGMA Linx Atom 3G, темно-синий "," Код: 1062957; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 512Мб, встроенная память: 4Гб ", 2470 руб.,-
"Смартфон DIGMA Linx Atom 3G, красный "," Код: 1062958; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 512Мб, встроенная память: 4Гб ", 2470 руб.,-
"Смартфон DIGMA Linx Atom 3G, синий "," Код: 1062959; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 512Мб, встроенная память: 4Гб ", 2490 руб.,-
"Смартфон DIGMA Linx Atom 3G, темно-серый "," Код: 1062955; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 512Мб, встроенная память: 4Гб ", 2490 руб.,-
"Смартфон FLY Stratus 7 FS458, черный "," Код: 496299; ОС Android 6.0, экран: 4.5"", TN, 854×480, процессор: MediaTek MT6570, 1300МГц, 2-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 4.5ч, в режиме ожидания, до: 280ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2490 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, черный "," Код: 1013092; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2690 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, красный "," Код: 1013095; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2690 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, серый титан "," Код: 1013098; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2690 руб.,-
"Смартфон DIGMA Linx Alfa 3G, черный "," Код: 1064080; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2750 руб.,-
Смартфон PRESTIGIO Wize Y3 золотистый ," Код: 1107985; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2790 руб.,-
Смартфон PRESTIGIO Wize Y3 черный ," Код: 1107986; ОС Android 8.1, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731E, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2790 руб.,-
"Смартфон DIGMA A453 3G Linx, черный "," Код: 1012537; ОС Android 7.0, экран: 4.5"", TFT, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2890 руб., 3690 руб.
"Смартфон DIGMA A453 3G Linx, золотистый "," Код: 1012633; ОС Android 7.0, экран: 4.5"", TFT, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2890 руб., 3690 руб.
"Смартфон DIGMA A453 3G Linx, серый "," Код: 1012636; ОС Android 7.0, экран: 4.5"", TFT, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2890 руб., 3190 руб.
"Смартфон DIGMA A453 3G Linx, синий "," Код: 1078253; ОС Android 7.0, экран: 4.5"", TFT, 854×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2890 руб., 3690 руб.
Смартфон ARK UKOZI U5 черный ," Код: 1080611; ОС Android 5.1, экран: 5.72"", IPS, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2890 руб.,-
Смартфон ARK UKOZI U5 золотистый ," Код: 1080616; ОС Android 5.1, экран: 5.72"", IPS, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 512Мб, встроенная память: 4Гб ", 2890 руб., 3370 руб.
Смартфон ARK UKOZI U5 красный ," Код: 1080621; ОС Android 5.1, экран: 5.72"", IPS, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, чехол в комплекте, оперативная память: 512Мб, встроенная память: 4Гб ", 2890 руб.,-
Смартфон PRESTIGIO Wize красный ," Код: 1084504; ОС Android 7.0, экран: 5"", TN, 960×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 8Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб., 3990 руб.
Смартфон PRESTIGIO Wize черный ," Код: 1084509; ОС Android 7.0, экран: 5"", TN, 960×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 8Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб., 3990 руб.
Смартфон PRESTIGIO Wize синий ," Код: 1084510; ОС Android 7.0, экран: 5"", TN, 960×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 8Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб., 3990 руб.
Смартфон PRESTIGIO Wize золотистый ," Код: 1094079; ОС Android 7.0, экран: 5"", TN, 960×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 8Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб., 3990 руб.
"Смартфон BQ Strike Mini 4072, черный "," Код: 1105443; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон DIGMA HIT 8Gb, Q401 3G, золотистый "," Код: 1014644; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон DIGMA Linx Joy 3G, черный "," Код: 1064087; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон DIGMA Linx Joy 3G, темно-серый "," Код: 1064090; ОС Android 8.1, экран: 5"", TN, 854×480, процессор: Spreadtrum MT6580M, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 4Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, графит "," Код: 1130186; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, синий "," Код: 1130467; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон VERTEX Impress Funk 8Gb, черный "," Код: 1130484; ОС Android 8.1, экран: 3.97"", TN, 800×480, процессор: MediaTek MTK6580M, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 19ч, в режиме ожидания, до: 290ч, оперативная память: 512Мб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Wizard 2 золотистый ," Код: 1110628; ОС Android 8.1, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 10ч, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Wizard 2 черный ," Код: 1110483; ОС Android 8.1, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 5ч, в режиме ожидания, до: 10ч, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
"Смартфон BQ Strike Mini 4072, золотистый "," Код: 1105446; ОС Android 7.0, экран: 4"", TN, 800×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, оперативная память: 1Гб, встроенная память: 8Гб ", 2990 руб.,-
Смартфон ARK Benefit S505 черный ," Код: 1059083; ОС Android 7.0, экран: 5"", TN, 854×480, процессор: MediaTek MT6580, 1300МГц, 4-х ядерный, камера: 5Мп, GPS, время работы в режиме разговора, до: 4ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3100 руб.,-
Смартфон FLY Life Compact синий ," Код: 1103480; ОС Android 7.0, экран: 4.95"", TN, 960×480, процессор: SC7731C, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 7ч, в режиме ожидания, до: 120ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3150 руб., 3770 руб.
Смартфон MICROMAX Q357 серый ," Код: 1053257; ОС Android 7.0, экран: 5"", IPS, 854×480, процессор: Spreadtrum SC7731c, 1200МГц, 4-х ядерный, камера: 5Мп, FM-радио, GPS, время работы в режиме разговора, до: 24ч, в режиме ожидания, до: 254ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3190 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, черный "," Код: 1074989; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, синий "," Код: 1074990; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
"Смартфон DIGMA Argo 3G 8Gb, LINX, золотистый "," Код: 1074991; ОС Android Go, экран: 4.5"", TN, 854×480, процессор: MT6580A, 1300МГц, 4-х ядерный, камера: 2Мп, FM-радио, GPS, оперативная память: 512Мб, встроенная память: 8Гб ", 3290 руб.,-
Смартфон ARK Zoji S12 черный ," Код: 1066264; ОС Android 6.0, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3290 руб.,-
Смартфон ARK Zoji S12 синий ," Код: 1066268; ОС Android 6.0, экран: 5"", IPS, 960×480, процессор: MediaTek MTK6580, 1300МГц, 4-х ядерный, камера: 8Мп, GPS, время работы в режиме разговора, до: 5ч, оперативная память: 1Гб, встроенная память: 8Гб ", 3290 руб.,-
